Quantity,Alternate Names,Defining Document,Description,Item,Last edited by,Last edited time,SI Units,Symbol,Type
radius,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),half of a diameter (item 3-1.5),3-1.6,Steven Jenkins,"August 18, 2026 9:20 AM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),"r (https://app.notion.com/p/r-3c0b24cf917a8097aafdc28cb3f91a7d?pvs=21), R (https://app.notion.com/p/R-3c0b24cf917a808aa670f1400597fdb3?pvs=21)",Derived
distance,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"shortest path length (item 3-1.7) between two
points in a metric space",3-1.8,Steven Jenkins,"August 18, 2026 9:20 AM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),"d (https://app.notion.com/p/d-3c0b24cf917a80eb832bf7a1d1ab7ac0?pvs=21), r (https://app.notion.com/p/r-3c0b24cf917a8097aafdc28cb3f91a7d?pvs=21)",Derived
path length,arc length (https://app.notion.com/p/arc-length-3c0b24cf917a8017b01be1495f2bf44f?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"length of a rectifiable curve between two of
its points",3-1.7,Steven Jenkins,"August 18, 2026 9:20 AM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),s (https://app.notion.com/p/s-3c0b24cf917a80829410d1115783b1b5?pvs=21),Derived
radial distance,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"distance (item 3‑1.8), where one point is locat- ed on an axis or within a closed non self-intersecting curve or surface",3-1.9,Steven Jenkins,"August 18, 2026 9:20 AM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),"r_Q (https://app.notion.com/p/r_Q-3c0b24cf917a8080a03dcd1257a99e58?pvs=21), rho (https://app.notion.com/p/rho-3c0b24cf917a805e969cff14f72d601a?pvs=21)",Derived
position vector,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"vector (ISO 80000-2) quantity from the origin
of a coordinate system to a point in space",3-1.10,Steven Jenkins,"August 18, 2026 9:20 AM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),vector r (https://app.notion.com/p/vector-r-3c0b24cf917a800eaa0ef75716690280?pvs=21),Derived
displacement,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"vector (ISO 80000-2) quantity between any
two points in space",3-1.11,Steven Jenkins,"August 18, 2026 9:20 AM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),Delta vector r (https://app.notion.com/p/Delta-vector-r-3c0b24cf917a807e8ee5fd3851da12be?pvs=21),Derived
radius of curvature,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"radius (item 3‑1.6) of the osculating circle of a
planar curve at a particular point of the curve",3-1.12,Steven Jenkins,"August 18, 2026 9:20 AM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),rho (https://app.notion.com/p/rho-3c0b24cf917a805e969cff14f72d601a?pvs=21),Derived
curvature,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),inverse of the radius of curvature (item 3-1.12),3-2,Steven Jenkins,"August 18, 2026 9:21 AM",one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),kappa (https://app.notion.com/p/kappa-3c0b24cf917a8053b87ec9fe7a4d1ec9?pvs=21),Derived
area,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),extent of a two‑dimensional geometrical shape,3-3,Steven Jenkins,"August 18, 2026 9:21 AM",metre squared (https://app.notion.com/p/metre-squared-3c0b24cf917a80049ac9e8564d14a5f9?pvs=21),"A (https://app.notion.com/p/A-3c0b24cf917a8076acb9e0a17fec669c?pvs=21), S (https://app.notion.com/p/S-3c0b24cf917a80e6a616e5975fe3e900?pvs=21)",Derived
volume,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"extent of a three‑dimensional geometrical
shape",3-4,Steven Jenkins,"August 18, 2026 10:05 AM",metre cubed (https://app.notion.com/p/metre-cubed-3c0b24cf917a806d81d0cf2464f80b33?pvs=21),"V (https://app.notion.com/p/V-3c0b24cf917a80799652da0a3fb7ab27?pvs=21), (S) (https://app.notion.com/p/S-3c0b24cf917a800f8630c8ef7766f0b2?pvs=21)",Derived
