Name,LaTeX,📐 ISQ Quantities,Last edited by,Last edited time
c_phi,$c_\phi$,phase velocity (https://app.notion.com/p/phase-velocity-3c0b24cf917a8014aafdd2ab7d3b7078?pvs=21),Steven Jenkins,"August 20, 2026 10:05 AM"
v sub phi,$v_\phi$,phase velocity (https://app.notion.com/p/phase-velocity-3c0b24cf917a8014aafdd2ab7d3b7078?pvs=21),Steven Jenkins,"August 18, 2026 12:16 PM"
c_g,$c_{\rm g}$,group velocity (https://app.notion.com/p/group-velocity-3c0b24cf917a808a8690db827c5d9a58?pvs=21),Steven Jenkins,"August 20, 2026 10:05 AM"
v sub g,$v_{\rm g}$,group velocity (https://app.notion.com/p/group-velocity-3c0b24cf917a808a8690db827c5d9a58?pvs=21),Steven Jenkins,"August 18, 2026 12:20 PM"
Lambda,$\Lambda$,logarithmic decrement (https://app.notion.com/p/logarithmic-decrement-3c0b24cf917a80bbae7ae130bd442258?pvs=21),Steven Jenkins,"August 18, 2026 12:25 PM"
rho_A,$\rho_A$,surface mass density (https://app.notion.com/p/surface-mass-density-3c1b24cf917a80269a29f1c5309c29f5?pvs=21),Steven Jenkins,"August 18, 2026 9:45 PM"
rho_l,$\rho_l$,linear mass density density (https://app.notion.com/p/linear-mass-density-density-3c1b24cf917a80da9141c6027d9ec629?pvs=21),Steven Jenkins,"August 18, 2026 9:45 PM"
vector p,$\boldsymbol p$,momentum (https://app.notion.com/p/momentum-3c1b24cf917a808ea97fc672a1fd938d?pvs=21),Steven Jenkins,"August 18, 2026 9:35 PM"
vector F,$\boldsymbol F$,force (https://app.notion.com/p/force-2c13ac89368d4e81aafd213bd889562e?pvs=21),Steven Jenkins,"August 18, 2026 9:37 PM"
vector F_g,$\boldsymbol F_\mathrm g$,weight (https://app.notion.com/p/weight-3c1b24cf917a80a797b7ca4f94c4b8e4?pvs=21),Steven Jenkins,"August 18, 2026 9:43 PM"
G,$G$,modulus of rigidity (https://app.notion.com/p/modulus-of-rigidity-3c2b24cf917a80dbaa1ac1a861b91116?pvs=21),Steven Jenkins,"August 18, 2026 9:52 PM"
vector I,$\boldsymbol I$,impulse (https://app.notion.com/p/impulse-3c1b24cf917a8046a454ef8047f80e9f?pvs=21),Steven Jenkins,"August 18, 2026 10:20 PM"
rho_m,$\rho_m$,mass density (https://app.notion.com/p/mass-density-3c0b24cf917a802e9e9acd29964ff008?pvs=21),Steven Jenkins,"August 18, 2026 11:00 PM"
vector J,$\boldsymbol J$,moment of inertia (https://app.notion.com/p/moment-of-inertia-af03ebb9f77c44da985cccfde87d3751?pvs=21),Steven Jenkins,"August 20, 2026 12:07 AM"
vector F_s,$\boldsymbol F_{\mathrm s}$,static friction force (https://app.notion.com/p/static-friction-force-3c2b24cf917a8021ae63ce4a1f0dc75e?pvs=21),Steven Jenkins,"August 20, 2026 7:21 AM"
vector F_mu,$\boldsymbol F_{\mathrm \mu}$,kinetic friction force (https://app.notion.com/p/kinetic-friction-force-3c2b24cf917a80f9a7e8e16e50aae95e?pvs=21),Steven Jenkins,"August 20, 2026 7:20 AM"
vector F_rr,$\boldsymbol F_{\mathrm rr}$,rolling resistance (https://app.notion.com/p/rolling-resistance-3c2b24cf917a8032845ee710e6227eed?pvs=21),Steven Jenkins,"August 20, 2026 7:21 AM"
vector F_D,$\boldsymbol F_{\mathrm D}$,drag force (https://app.notion.com/p/drag-force-3c2b24cf917a808bb8edf4e677d1d118?pvs=21),Steven Jenkins,"August 20, 2026 7:19 AM"
vector M,$\boldsymbol M$,moment of force (https://app.notion.com/p/moment-of-force-3c2b24cf917a8063b26cdd861ee00967?pvs=21),Steven Jenkins,"August 20, 2026 8:11 AM"
M_Q,$M_{\mathrm Q}$,torque (https://app.notion.com/p/torque-3c2b24cf917a80e58d2ce38526bec133?pvs=21),Steven Jenkins,"August 20, 2026 8:42 AM"
vector H,$\boldsymbol H$,angular impulse (https://app.notion.com/p/angular-impulse-3c2b24cf917a80159294cf445a3cd8f8?pvs=21),Steven Jenkins,"August 20, 2026 9:41 AM"
p,$p$,pressure (https://app.notion.com/p/pressure-96c74225d7db4a7c8d549a9396a5669f?pvs=21),Steven Jenkins,"August 20, 2026 9:44 AM"
p_e,$p_{\mathrm e}$,gauge pressure (https://app.notion.com/p/gauge-pressure-3c2b24cf917a80469653f8a324c63978?pvs=21),Steven Jenkins,"August 20, 2026 9:44 AM"
vector L,$\boldsymbol L$,angular momentum (https://app.notion.com/p/angular-momentum-3c2b24cf917a801d975af13e75775632?pvs=21),Steven Jenkins,"August 20, 2026 9:45 AM"
sigma_n,$\sigma_{\mathrm n}$,normal stress (https://app.notion.com/p/normal-stress-3c2b24cf917a80528976f3243f3e6297?pvs=21),Steven Jenkins,"August 20, 2026 9:54 AM"
tau_s,$\tau_{\mathrm s}$,shear stress (https://app.notion.com/p/shear-stress-3c0b24cf917a80399594d148608fd42b?pvs=21),Steven Jenkins,"August 20, 2026 10:04 AM"
vector epsilon,$\boldsymbol \epsilon$,strain (https://app.notion.com/p/strain-3c2b24cf917a802b8149d65c0901be27?pvs=21),Steven Jenkins,"August 20, 2026 10:09 AM"
